FID,County,Sub_County,AEZ_Code,AEZ_Name,AEZSubzone,Major_Crop,AREA,Shape__Area,Shape__Length
140,West Pokot,Pokot Central Sub County,UH 1,Upper Highland,vl i,Sheep and Dairy Zone,5473.69906338,9342.80358886719,451.14952527769
141,West Pokot,Pokot Central Sub County,UH 1,Upper Highland,vl i,Sheep and Dairy Zone,5473.69906338,55061265.9066772,45586.5954205769
142,West Pokot,Pokot South Sub County,UH 1 - 2,Upper Highland,(vl) i,Sheep - Dairy/Pyrethrum - Wheat Zone,15224.3371342,153200702.237427,75982.6639844767
143,West Pokot,Pokot South Sub County,UH 2,Upper Highland,(vl) i,Wheat - Pyrethrum Zone,10786.661853,88971655.8671875,97683.1743755182
144,West Pokot,Pokot South Sub County,UH 2,Upper Highland,(vl) i,Wheat - Pyrethrum Zone,10786.661853,19577133.2579346,29017.3087133927
145,West Pokot,Pokot Central Sub County,UH 2,Upper Highland,(vl) i,Wheat - Pyrethrum Zone,6774.53530177,3207252.14123535,12768.1260237252
146,West Pokot,Pokot Central Sub County,UH 2,Upper Highland,(vl) i,Wheat - Pyrethrum Zone,6774.53530177,64952651.1489868,72858.5987013298
147,West Pokot,West Pokot Sub County,UH 2,Upper Highland,(vl) i,Wheat - Pyrethrum Zone,1712.73541691,17241222.0975342,33236.0185097255
148,West Pokot,Pokot Central Sub County,UH 2,Upper Highland,(vl) i,Wheat - Pyrethrum Zone,2727.90140765,27460243.5447998,47028.6733347718
149,West Pokot,Pokot South Sub County,UH 2 - 3,Upper Highland,(vl/l) i,Wheat - Pyrethrum/Wheat - Barley Zone,1390.72533948,13993760.1966248,17488.8832366533
150,West Pokot,Pokot South Sub County,UM 2,Upper Midland,(vl/l) i,Coffee Zone,307.227892058,3092462.04360962,7850.91351402242
151,West Pokot,West Pokot Sub County,UM 2,Upper Midland,(vl/l) i,Coffee Zone,5430.58940126,54665836.7985535,51921.2119437915
152,West Pokot,West Pokot Sub County,UM 2,Upper Midland,vl i or two,Coffee Zone,142.962129804,1439051.8067627,9001.40092494587
153,West Pokot,West Pokot Sub County,UM 3,Upper Midland,(l/vl) i,Maize and Marginal Coffee Zone,3248.44479999,32700686.7203064,28715.444773783
154,West Pokot,Pokot South Sub County,UM 3,Upper Midland,(vl/l) i,Maize and Marginal Coffee Zone,1290.89778643,12993731.5615845,20286.2392818089
155,West Pokot,West Pokot Sub County,UM 4,Upper Midland,(l),Maize - Sunflower Zone,2036.91517964,20507916.8703613,38869.9329348518
156,West Pokot,Endebess Sub County,UM 4,Upper Midland,(l),Maize - Sunflower Zone,20.9199721656,210641.408905029,4086.50207174154
157,West Pokot,Kwanza  Sub County,UM 4,Upper Midland,(l/vl),Maize - Sunflower Zone,25.5262455711,256974.270385742,3130.45977168999
158,West Pokot,West Pokot Sub County,UM 4,Upper Midland,(l/vl),Maize - Sunflower Zone,1332.34543478,13412597.0999756,21482.3006946218
159,West Pokot,Pokot Central Sub County,UM 4,Upper Midland,f(l) i or two,Maize - Sunflower Zone,166.700315348,1676911.32446289,5535.7605035875
160,West Pokot,Pokot South Sub County,UM 4,Upper Midland,(m/l) i,Maize - Sunflower Zone,5773.81873859,58015596.7227173,61995.8167701648
161,West Pokot,Pokot South Sub County,UM 4,Upper Midland,(m/l) i,Maize - Sunflower Zone,5773.81873859,9552.09136962891,519.399601039559
162,West Pokot,Pokot South Sub County,UM 4,Upper Midland,(m/l) i,Maize - Sunflower Zone,5773.81873859,90397.6694335938,1526.57746998007
163,West Pokot,West Pokot Sub County,UM 4,Upper Midland,(m/l) i,Maize - Sunflower Zone,3382.4630879,34053475.3309326,45021.6640733401
164,West Pokot,Pokot North Sub County,UM 4,Upper Midland,(l/m) i,Maize - Sunflower Zone,1145.0052526,11532757.9243774,17734.6610579642
165,West Pokot,Pokot North Sub County,UM 4,Upper Midland,(m/l) i,Maize - Sunflower Zone,1969.08635455,19838233.8729858,17332.2038282359
166,West Pokot,Pokot North Sub County,UM 4,Upper Midland,(m/l) i,Maize - Sunflower Zone,772.603737046,7784523.70471191,11299.8260166717
167,West Pokot,Pokot North Sub County,UM 4,Upper Midland,(m/l) i,Maize - Sunflower Zone,12200.9077225,122970889.72998,92561.0853666781
168,West Pokot,Pokot South Sub County,UM 4 - 5,Upper Midland,(m/l) i,Maize - Sunflower/Livestock – Sorghum Zone,1169.6513473,11772827.319397,15168.5827289128
169,West Pokot,Pokot Central Sub County,UM 4 - 5,Upper Midland,(m/l) i,Maize - Sunflower/Livestock – Sorghum Zone,506.803294304,5101005.38763428,8894.68852416599
170,West Pokot,Pokot North Sub County,UM 4 - 5,Upper Midland,(l/m) i,Maize - Sunflower/Livestock – Sorghum Zone,323.183942778,3254491.28143311,11228.0438758669
171,West Pokot,West Pokot Sub County,UM 4 - 5,Upper Midland,(l/m) i,Maize - Sunflower/Livestock – Sorghum Zone,14963.4379391,150661645.53241,93340.0062195069
172,West Pokot,Endebess Sub County,UM 4 - 5,Upper Midland,(l/m) i,Maize - Sunflower/Livestock – Sorghum Zone,12.6080819891,126953.318786621,2599.8606242462
173,West Pokot,Sub-County in West Pokot,UM 4 - 5,Upper Midland,(l/m) i,Maize - Sunflower/Livestock – Sorghum Zone,60.6376992973,8381.79138183594,567.902825279987
174,West Pokot,Sub-County in West Pokot,UM 4 - 5,Upper Midland,(l/m) i,Maize - Sunflower/Livestock – Sorghum Zone,60.6376992973,248295.100402832,6724.43613984371
175,West Pokot,Sub-County in West Pokot,UM 4 - 5,Upper Midland,(l/m) i,Maize - Sunflower/Livestock – Sorghum Zone,60.6376992973,353949.42880249,3720.1380824563
176,West Pokot,Pokot South Sub County,UM 4 - 5,Upper Midland,(m/l) i,Maize - Sunflower/Livestock – Sorghum Zone,17311.1072085,165751919.539978,166050.593047857
177,West Pokot,Pokot South Sub County,UM 4 - 5,Upper Midland,(m/l) i,Maize - Sunflower/Livestock – Sorghum Zone,17311.1072085,1907371.39764404,7980.72295281631
178,West Pokot,Pokot South Sub County,UM 4 - 5,Upper Midland,(m/l) i,Maize - Sunflower/Livestock – Sorghum Zone,17311.1072085,6589364.45721436,15915.1633744512
179,West Pokot,Pokot North Sub County,UM 4 - 5,Upper Midland,(m/l) i,Maize - Sunflower/Livestock – Sorghum Zone,13293.240326,133875786.125916,80128.7970432621
180,West Pokot,West Pokot Sub County,UM 4 - 5,Upper Midland,(m/l) i,Maize - Sunflower/Livestock – Sorghum Zone,38985.6291689,241385646.681885,263694.722581284
181,West Pokot,West Pokot Sub County,UM 4 - 5,Upper Midland,(m/l) i,Maize - Sunflower/Livestock – Sorghum Zone,38985.6291689,151123209.252014,145023.126886175
182,West Pokot,Pokot Central Sub County,UM 4 - 5,Upper Midland,(m/l) i,Maize - Sunflower/Livestock – Sorghum Zone,19046.5211664,106818741.47876,110225.427687304
183,West Pokot,Pokot Central Sub County,UM 4 - 5,Upper Midland,(m/l) i,Maize - Sunflower/Livestock – Sorghum Zone,19046.5211664,21640754.6593628,41597.2877456014
184,West Pokot,Pokot Central Sub County,UM 4 - 5,Upper Midland,(m/l) i,Maize - Sunflower/Livestock – Sorghum Zone,19046.5211664,62451031.4266968,83886.9940958413
185,West Pokot,Pokot Central Sub County,UM 4 - 5,Upper Midland,(m/l) i,Maize - Sunflower/Livestock – Sorghum Zone,19046.5211664,154230.710144043,2346.69987308295
186,West Pokot,Pokot Central Sub County,UM 4 - 5,Upper Midland,(m/l) i,Maize - Sunflower/Livestock – Sorghum Zone,19046.5211664,624768.98815918,3269.45346228078
187,West Pokot,Sub-County in West Pokot,UM 4 - 5,Upper Midland,(m/l) i,Maize - Sunflower/Livestock – Sorghum Zone,1365.26714073,7047686.39801025,39228.5954254881
188,West Pokot,Sub-County in West Pokot,UM 4 - 5,Upper Midland,(m/l) i,Maize - Sunflower/Livestock – Sorghum Zone,1365.26714073,178534.919433594,2502.62769051125
